time,P
2023-03-27 8:49:59.1590,100047.49
2023-03-27 8:50:00.0970,100048.36
2023-03-27 8:50:01.0440,100048.36
2023-03-27 8:50:01.9860,100048.36
2023-03-27 8:50:02.9390,100048.15
2023-03-27 8:50:03.8770,100048.08
2023-03-27 8:50:04.8220,100048.08
2023-03-27 8:50:05.7680,100048.13
2023-03-27 8:50:06.7190,100048.17
2023-03-27 8:50:07.6560,100048.17
2023-03-27 8:50:08.6080,100048.16
2023-03-27 8:50:09.5490,100048.13
2023-03-27 8:50:10.4950,100048.13
2023-03-27 8:50:11.4370,100048.55
2023-03-27 8:50:12.3830,100049.48
2023-03-27 8:50:13.3280,100050.56
2023-03-27 8:50:14.2740,100052.3
2023-03-27 8:50:15.2200,100054.06
2023-03-27 8:50:16.1660,100055.56
2023-03-27 8:50:17.1080,100056.91
2023-03-27 8:50:18.0560,100059.02
2023-03-27 8:50:18.9970,100061.43
2023-03-27 8:50:19.9440,100063.72
2023-03-27 8:50:20.8900,100066.38
2023-03-27 8:50:21.8330,100069.63
2023-03-27 8:50:22.7820,100072.75
2023-03-27 8:50:23.7240,100075.69
2023-03-27 8:50:24.6710,100078.95
2023-03-27 8:50:25.6150,100081.65
2023-03-27 8:50:26.5630,100083.66
2023-03-27 8:50:27.4980,100084.47
2023-03-27 8:50:28.4480,100084.47
2023-03-27 8:50:29.3950,100084.31
2023-03-27 8:50:30.3460,100084.05
2023-03-27 8:50:31.2840,100083.72
2023-03-27 8:50:32.2350,100083.71
2023-03-27 8:50:33.1740,100083.63
2023-03-27 8:50:34.1230,100083.55
2023-03-27 8:50:35.0610,100083.51
2023-03-27 8:50:36.0160,100083.39
2023-03-27 8:50:36.9500,100083.39
2023-03-27 8:50:37.9050,100083.86
2023-03-27 8:50:38.8440,100085.93
2023-03-27 8:50:39.7980,100088.99
2023-03-27 8:50:40.7330,100092.11
2023-03-27 8:50:41.6860,100095.2
2023-03-27 8:50:42.6210,100097.6
2023-03-27 8:50:43.5780,100098.33
